Indicator Name|Unit|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2010-2012|2011|2011-2013|2012|2012-2014|2013|2014|2014-2016|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|2061|2062|2063|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075|2076|2077|2078|2079|2080|2081|2082|2083|2084|2085|2086|2087|2088|2089|2090|2091|2092|2093|2094|2095|2096|2097|2098|2099|2100
Agriculture orientation index US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)|index||||||||||||||||||||||||||||||||||||||||||||||||1.36|1.09|1.47||1.67||1.12||1.09|1.3||1.39|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agriculture orientation index, DFA Commitment to Agriculture, Forestry and Fishing|index||||||||||||||||||||||||||||||||||||||||||||||||||||0.62||0.6||1.16|0.26||0.93|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agriculture orientation index, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)|index||||||||||||||||||||||||||||||||||||||||||||||||1.28|1.02|1.38||1.57||1.05||1.02|1.22||1.31|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), All Animals|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||1021400553.712775||1026561086.1997019|1037825662.298982||1044430385.4177859|1049599240.0925972||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Asses|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||6548100.0||6984640.0|7202910.0||7478340.619258|7862240.836003998||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Cattle|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||618358588.8||618697283.25|620806800.75||621137297.794876|621538698.574882||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Cattle, dairy|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||443798025.0||443858250.0|443978700.0||444167125.816453|444517550.333076||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Cattle, non-dairy|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||174560563.8||174839033.25|176828100.75||176970171.978423|177021148.241806||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Chickens|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||6242434.912776||6290437.949701998|6259176.548982||6274824.301904|6290948.215186||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Chickens, broilers|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||3745428.881383||3647644.917273|3711325.54837||3679450.496122|3646605.487583||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
