Year,Rainfall,Production,,,,,,
1984,364.5,2853793.9,,,,,,
1985,545.5,3064532.9,,,,,,
1986,416.2,2435053.7,,,,,,
1987,485.5,2677455.8,,,,,,
1988,578.1,2640443.3,,,,,,
1989,445.9,2171104.2,,,,,,
1990,467.8,2030111.8,,,,,,
1991,384.7,2149337.6,,,,,,
1992,453.0,2090150.1,,,,,,
1993,436.5,2477708.7,,,,,,
1994,378.5,2424311.7,,,,,,
1995,401.5,2183070.4,,,,,,
1996,431.8,2181855.1,,,,,,
1997,398.3,2548106.1,,,,,,
1998,397.7,2480941.5,,,,,,
1999,415.9,2295807.2,,,,,,
2000,437.5,1853485.6,,,,,,
2001,417.3,1637809.8,,,,,,
2002,349.4,1774022.8,,,,,,
2003,490.7,2479745.8,,,,,,
2004,300.3,1270176.5,,,,,,
2005,329.7,2157778.1,,,,,,
2006,348.5,1394439.5,,,,,,
2007,385.3,1984193.3,,,,,,
2008,355.2,1988819.1,,,,,,
2009,426.8,2092564.8,,,,,,
2010,369.5,1819790.4,,,,,,
2011,430.5,2099185.7,,,,,,
2012,533.0,2516641.1,,,,,,
2013,478.0,1964184.7,,,,,,
2014,431.9,2197901.5,,,,,,
2015,445.3,2265448.0,,,,,,
2016,446.0,2463111.9,,,,,,
