Year,Rainfall,Production,
1984,483.4,309958976.0,
1985,622.7,331888677.1,
1986,499.5,287396718.7,
1987,652.5,321543377.3,
1988,679.7,262491200.3,
1989,609.5,284869072.5,
1990,552.7,265116922.2,
1991,509.1,244460612.5,
1992,540.6,256910814.8,
1993,540.0,271295593.9,
1994,506.0,274956441.4,
1995,509.8,259014233.4,
1996,579.6,252742464.5,
1997,526.1,272418034.9,
1998,528.4,272736870.3,
1999,551.2,268532388.6,
2000,551.1,254705279.7,
2001,532.0,251330009.5,
2002,445.8,267106222.1,
2003,627.6,315514333.3,
2004,372.0,244092520.4,
2005,396.8,265598941.4,
2006,415.5,233614857.5,
2007,507.7,262746119.7,
2008,396.3,222770756.4,
2009,506.3,278857824.3,
2010,437.7,214498017.1,
2011,536.9,272787822.7,
2012,624.3,279752951.6,
2013,588.0,270069178.9,
2014,522.4,264351770.7,
2015,492.3,266167104.1,
2016,536.7,275045158.9,
