Year,Rainfall,Production,
1984,367.7,7187630.6,
1985,499.3,8663153.0,
1986,448.7,7309151.0,
1987,497.0,8227243.0,
1988,434.2,6418526.6,
1989,400.8,5953593.7,
1990,338.6,6999325.0,
1991,380.1,7851114.4,
1992,438.6,8016028.2,
1993,455.6,8146399.7,
1994,445.1,6917775.0,
1995,430.3,6920320.0,
1996,444.7,6272631.8,
1997,274.9,5348983.7,
1998,319.6,6900806.1,
1999,404.2,6012964.4,
2000,338.9,5612571.2,
2001,427.7,5698085.6,
2002,342.6,4612778.9,
2003,414.1,6669521.7,
2004,285.2,3811883.2,
2005,350.0,6118342.2,
2006,310.9,5268435.7,
2007,352.2,5660443.0,
2008,305.3,6394958.1,
2009,325.3,5432551.0,
2010,392.9,6143211.4,
2011,455.5,6827731.6,
2012,448.3,5613627.1,
2013,398.7,6946497.3,
2014,464.5,7329972.2,
2015,435.3,7207156.9,
2016,442.1,7835485.9,
