Country	County	Month	Source	State	Unit	Value	Variable	Year
South Sudan			FAO		%	37.6	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2000
South Sudan			FAO		%	37.2	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2001
South Sudan			FAO		%	36.8	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2002
South Sudan			FAO		%	36.4	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2003
South Sudan			FAO		%	36.0	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2004
South Sudan			FAO		%	35.5	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2005
South Sudan			FAO		millions	23.35	Value US$, Agriculture, forestry, fishing (Central Government)	2006
South Sudan			FAO		%	24.6	Value, Percentage of children under 5 years affected by wasting (percent)	2006
South Sudan			FAO		%	10.9	Value, Percentage of children under 5 years of age who are overweight (percent)	2006
South Sudan			FAO		%	36.2	Value, Percentage of children under 5 years of age who are stunted (percent)	2006
South Sudan			FAO		%	34.9	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2006
South Sudan			FAO		%	22.21	Annual growth US$, Agriculture, forestry, fishing (Central Government)	2007
South Sudan			FAO		millions	28.53	Value US$, Agriculture, forestry, fishing (Central Government)	2007
South Sudan			FAO		%	34.3	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2007
South Sudan			FAO		index	1.36	Agriculture orientation index US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		index	0.87	Agriculture orientation index, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	14.003252	Share of GDP in Local Currency, Gross Fixed Capital Formation	2008
South Sudan			FAO		%	3.842958	Share of GDP in Local Currency, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	1.6817939999999998	Share of GDP in Local Currency, Value Added (Total Manufacturing)	2008
South Sudan			FAO		%	14.003252	Share of GDP in US$, Gross Fixed Capital Formation	2008
South Sudan			FAO		%	3.838226	Share of GDP in US$, Value Added (Agriculture)	2008
South Sudan			FAO		%	3.842958	Share of GDP in US$, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	1.6817939999999998	Share of GDP in US$, Value Added (Total Manufacturing)	2008
South Sudan			FAO		%	15.176061	Share of GDP, Local Currency, 2010 prices, Gross Fixed Capital Formation	2008
South Sudan			FAO		%	3.842958	Share of GDP, Local Currency, 2010 prices, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	1.6817939999999998	Share of GDP, Local Currency, 2010 prices, Value Added (Total Manufacturing)	2008
South Sudan			FAO		%	15.176061	Share of GDP, US$, 2010 prices, Gross Fixed Capital Formation	2008
South Sudan			FAO		%	3.842958	Share of GDP, US$, 2010 prices, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	1.6817939999999998	Share of GDP, US$, 2010 prices, Value Added (Total Manufacturing)	2008
South Sudan			FAO		%	1.75	Share of Total, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		%	3.84	Share of Total, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		LCU	96.1564	Value Local Currency, 2010 base year, GDP Deflator	2008
South Sudan			FAO		LCU	88.7254	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator	2008
South Sudan			FAO		LCU	96.1564	Value Local Currency, 2010 base year, Value Added Deflator (Agriculture, forestry and fishery)	2008
South Sudan			FAO		LCU	96.1564	Value Local Currency, 2010 base year, Value Added Deflator (Manufacturing)	2008
South Sudan			FAO		millions	33257.265277	Value Local Currency, 2010 prices, Gross Domestic Product	2008
South Sudan			FAO		millions	5047.142733	Value Local Currency, 2010 prices, Gross Fixed Capital Formation	2008
South Sudan			FAO		millions	1278.062785	Value Local Currency, 2010 prices, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	559.318783	Value Local Currency, 2010 prices, Value Added (Total Manufacturing)	2008
South Sudan			FAO		millions	31979.0	Value Local Currency, Gross Domestic Product	2008
South Sudan			FAO		millions	4478.1	Value Local Currency, Gross Fixed Capital Formation	2008
South Sudan			FAO		millions	216.408244	Value Local Currency, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	41575.0	Value Local Currency, Gross National Income	2008
South Sudan			FAO		millions	1443.8586	Value Local Currency, Gross Output (Agriculture)	2008
South Sudan			FAO		millions	1443.8586	Value Local Currency, Gross Output (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	1227.4264	Value Local Currency, Value Added (Agriculture)	2008
South Sudan			FAO		millions	1228.939585	Value Local Currency, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	537.820991	Value Local Currency, Value Added (Total Manufacturing)	2008
South Sudan			FAO		millions	9854.093327	Value US$, 2005 prices, Gross Domestic Product	2008
South Sudan			FAO		millions	1289.520912	Value US$, 2005 prices, Gross Fixed Capital Formation	2008
South Sudan			FAO		millions	62.31728100000001	Value US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	410.843	Value US$, 2005 prices, Gross Output (Agriculture)	2008
South Sudan			FAO		millions	410.843	Value US$, 2005 prices, Gross Output (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	349.2583	Value US$, 2005 prices, Value Added (Agriculture)	2008
South Sudan			FAO		millions	349.258256	Value US$, 2005 prices, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	181.83351	Value US$, 2005 prices, Value Added (Total Manufacturing)	2008
South Sudan			FAO		US$	106.0859	Value US$, 2010 base year, GDP Deflator	2008
South Sudan			FAO		US$	97.8876	Value US$, 2010 base year, Gross Fixed Capital Formation Deflator	2008
South Sudan			FAO		US$	106.0859	Value US$, 2010 base year, Value Added Deflator (Agriculture, forestry and fishery)	2008
South Sudan			FAO		US$	106.0859	Value US$, 2010 base year, Value Added Deflator (Manufacturing)	2008
South Sudan			FAO		millions	14422.052041	Value US$, 2010 prices, Gross Domestic Product	2008
South Sudan			FAO		US$	1556.929753	Value US$, 2010 prices, Gross Domestic Product per capita	2008
South Sudan			FAO		millions	2188.699358	Value US$, 2010 prices, Gross Fixed Capital Formation	2008
South Sudan			FAO		millions	554.233424	Value US$, 2010 prices, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	242.549245	Value US$, 2010 prices, Value Added (Total Manufacturing)	2008
South Sudan			FAO		millions	15299.764956	Value US$, Gross Domestic Product	2008
South Sudan			FAO		millions	2142.464663	Value US$, Gross Fixed Capital Formation	2008
South Sudan			FAO		millions	70.5027295	Value US$, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	19890.794836	Value US$, Gross National Income	2008
South Sudan			FAO		millions	690.7876	Value US$, Gross Output (Agriculture)	2008
South Sudan			FAO		millions	690.7876	Value US$, Gross Output (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	587.2396	Value US$, Value Added (Agriculture)	2008
South Sudan			FAO		millions	587.963563	Value US$, Value Added (Agriculture, Forestry and Fishing)	2008
South Sudan			FAO		millions	257.310571	Value US$, Value Added (Total Manufacturing)	2008
South Sudan			FAO		%	33.6	Value, Prevalence of anemia among women of reproductive age (15-49 years)	2008
South Sudan			FAO		index	1.09	Agriculture orientation index US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2009
South Sudan			FAO		index	0.755	Agriculture orientation index, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)	2009
South Sudan			FAO		%	-11.880296	Annual growth Local Currency, Gross Domestic Product	2009
South Sudan			FAO		%	-13.874188	Annual growth Local Currency, Gross Fixed Capital Formation	2009
South Sudan			FAO		%	16.327617	Annual growth Local Currency, Gross Output (Agriculture)	2009
South Sudan			FAO		%	16.327617	Annual growth Local Currency, Gross Output (Agriculture, Forestry and Fishing)	2009
South Sudan			FAO		%	16.324791	Annual growth Local Currency, Value Added (Agriculture)	2009
South Sudan			FAO		%	17.702853	Annual growth Local Currency, Value Added (Agriculture, Forestry and Fishing)	2009
South Sudan			FAO		%	34.281319	Annual growth Local Currency, Value Added (Total Manufacturing)	2009
