Variable	Year	Month	Value	Unit	Source	State	County	Country
Percentage of cattle with body condition emaciated	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition emaciated	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition emaciated	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition emaciated	2017	4	10	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition thin	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition thin	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition thin	2017	3	33	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition thin	2017	4	30	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition borderline	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition borderline	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition borderline	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition borderline	2017	4	30	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition moderate	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition moderate	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition moderate	2017	3	50	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition moderate	2017	4	30	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition good	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition good	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition good	2017	3	17	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition good	2017	4		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of cattle with body condition emaciated	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition emaciated	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition emaciated	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition emaciated	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition thin	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition thin	2017	2		%	CliMIS	Jonglei		South Sudan
