Country	Unit	Value	Year	Variable
South Sudan	LCU	96.1564	2008	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	78.9118	2009	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	100.0	2010	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	148.8734	2011	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	163.0553	2012	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	175.6921	2013	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	169.6306	2014	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	189.3687	2015	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	LCU	1111.481	2016	Value Local Currency, 2010 base year, GDP Deflator
South Sudan	US$	106.0859	2008	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	79.065	2009	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	100.0	2010	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	114.8571	2011	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	127.4595	2012	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	137.3377	2013	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	132.5994	2014	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	106.7881	2015	Value US$, 2010 base year, GDP Deflator
South Sudan	US$	51.877	2016	Value US$, 2010 base year, GDP Deflator
South Sudan	LCU	88.7254	2008	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	95.3272	2009	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	100.0	2010	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	130.4636	2011	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	177.6783	2012	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	183.255	2013	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	189.0352	2014	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	269.1089	2015	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
South Sudan	LCU	1339.75	2016	Value Local Currency, 2010 base year, Gross Fixed Capital Formation Deflator
