Country	County	Value	Month	State	Year	Variable	Unit	Source
South Sudan	Morobo	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lainya	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yei	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Juba	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Terekeka	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Awerial	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol West	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wulu	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek East	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek North	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek Centre	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol East	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Leer	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayom	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Guit	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rubkona	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pariang	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj South	1	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj East	1	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj North	1	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Raga	1	7	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maridi	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mundri West	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mundri East	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yambio	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nzara	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mvolo	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tambura	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nagero	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	1	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	1	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	1	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fashoda	1	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Manyo	1	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
