Country	Variable	2012	2013	2014	2015	2016	2017
South Sudan	2005 PPP conversion factor, GDP (LCU per international $)						
South Sudan	2005 PPP conversion factor, private consumption (LCU per international $)						
South Sudan	Access to clean fuels and technologies for cooking (% of population)	0.5900000000000021	0.580000000000003	0.6199999999999979	0.6299999999999971	0.639999999999996	
South Sudan	Access to electricity (% of population)	4.91234540939331	5.915032863616941	6.92372846603394	7.93542766571045	8.94762802124023	
South Sudan	Access to electricity, rural (% of rural population)	2.5897139075616002	3.4133299871015095	4.23762719726165	5.0587683808558	5.8733958854267	
South Sudan	Access to electricity, urban (% of urban population)	15.3514251708984	17.0169372558594	18.686021804809602	20.356891632080103	22.0280570983887	
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)						8.570004463195799
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)						4.708465576171879
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)						12.503072738647498
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)						7.38098335266113
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)						3.85220122337341
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)						6.7733736038208
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)						11.7129011154175
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)						23.5858993530273
South Sudan	Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)						10.7395896911621
South Sudan	Adequacy of social insurance programs (% of total welfare of beneficiary households)						
South Sudan	Adequacy of social protection and labor programs (% of total welfare of beneficiary households)						
South Sudan	Adequacy of social safety net programs (% of total welfare of beneficiary households)						
South Sudan	Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)						
South Sudan	Adjusted net enrollment rate, primary (% of primary school age children)				32.15954		
South Sudan	Adjusted net enrollment rate, primary, female (% of primary school age children)				27.76587		
South Sudan	Adjusted net enrollment rate, primary, male (% of primary school age children)				36.449059999999996		
South Sudan	Adjusted net national income (annual % growth)						
South Sudan	Adjusted net national income (constant 2010 US$)						
South Sudan	Adjusted net national income (current US$)	9106628563.92486	10125906561.9973	9354292895.89885	6693780234.50727		
South Sudan	Adjusted net national income per capita (annual % growth)						
South Sudan	Adjusted net national income per capita (constant 2010 US$)						
South Sudan	Adjusted net national income per capita (current US$)	841.783267132736	905.919536675703	811.232019913921	563.34822581624		
South Sudan	Adjusted net savings, excluding particulate emission damage (% of GNI)			-30.183421405488			
South Sudan	Adjusted net savings, excluding particulate emission damage (current US$)			-3568913111.32124			
South Sudan	Adjusted net savings, including particulate emission damage (% of GNI)						
South Sudan	Adjusted net savings, including particulate emission damage (current US$)						
South Sudan	Adjusted savings: carbon dioxide damage (% of GNI)	0.35602530611699296	0.32861465865683104	0.36854251520646103			
South Sudan	Adjusted savings: carbon dioxide damage (current US$)	35330160.3901877	40237347.643351704	43576776.6990291			
South Sudan	Adjusted savings: consumption of fixed capital (% of GNI)	7.75118547873527	8.616400268628599	9.06017815171037	10.0639078692502		
South Sudan	Adjusted savings: consumption of fixed capital (current US$)	769188654.493626	1055038428.4747801	1071283078.2883401	800125186.5590321		
South Sudan	Adjusted savings: education expenditure (% of GNI)	1.260383015715	1.260383015715	1.60596730311552	1.7469392116489597	1.7469392116489597	
South Sudan	Adjusted savings: education expenditure (current US$)	125074070.11019199	154328080.720407	189890923.478942	138889393.741245		
South Sudan	Adjusted savings: energy depletion (% of GNI)	0.480473071403726	8.68626694603048	11.827622806057699	5.74228257602579		
South Sudan	Adjusted savings: energy depletion (current US$)	47679730.5815153	1063593280.5279199	1398508059.81281	456536861.933696	407476451.374034	
South Sudan	Adjusted savings: gross savings (% of GNI)			-10.53304524	-47.30487023		
South Sudan	Adjusted savings: mineral depletion (% of GNI)	0.0	0.0	0.0	0.0		
South Sudan	Adjusted savings: mineral depletion (current US$)	0.0	0.0	0.0	0.0	0.0	
South Sudan	Adjusted savings: natural resources depletion (% of GNI)	0.480473071403726	8.68626694603048	11.827622806057699	5.74228257602579		
South Sudan	Adjusted savings: net forest depletion (% of GNI)	0.0	0.0	0.0	0.0		
South Sudan	Adjusted savings: net forest depletion (current US$)	0.0	0.0	0.0	0.0	0.0	
South Sudan	Adjusted savings: net national savings (% of GNI)			-19.5932233873393	-57.3687781032223		
South Sudan	Adjusted savings: net national savings (current US$)			-2316719198.2883396	-4561071591.55903		
South Sudan	Adjusted savings: particulate emission damage (% of GNI)						
South Sudan	Adjusted savings: particulate emission damage (current US$)						
South Sudan	Adolescent fertility rate (births per 1,000 women ages 15-19)	78.074	74.8672	71.6604	68.4536	65.2468	
South Sudan	Adolescents out of school (% of lower secondary school age)				60.3991		
South Sudan	Adolescents out of school, female (% of female lower secondary school age)				66.78268		
South Sudan	Adolescents out of school, male (% of male lower secondary school age)				54.149330000000006		
South Sudan	Adults (ages 15+) and children (ages 0-14) newly infected with HIV	15000.0	15000.0	15000.0	14000.0	14000.0	14000.0
South Sudan	Adults (ages 15+) newly infected with HIV	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0
South Sudan	Age dependency ratio (% of working-age population)	86.4893755478577	85.6395339567439	84.68613208831509	83.6689248627716	82.95606444455879	82.1983947457981
South Sudan	Age dependency ratio, old (% of working-age population)	6.3800669022005705	6.40068745233407	6.39885962313107	6.3730934442444696	6.333881021931879	6.2702100153733396
South Sudan	Age dependency ratio, young (% of working-age population)	80.1093086456571	79.2388465044099	78.2872724651841	77.2958314185271	76.6221834226269	75.9281847304247
South Sudan	Agricultural irrigated land (% of total agricultural land)						
South Sudan	Agricultural land (% of land area)						
South Sudan	Agricultural land (sq. km)	285331.9921875	285331.9921875	285331.9921875	285331.9921875	285331.9921875	
South Sudan	Agricultural machinery, tractors						
South Sudan	Agricultural machinery, tractors per 100 sq. km of arable land						
South Sudan	Agricultural methane emissions (% of total)						
South Sudan	Agricultural methane emissions (thousand metric tons of CO2 equivalent)						
South Sudan	Agricultural nitrous oxide emissions (% of total)						
South Sudan	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)						
South Sudan	Agricultural raw materials exports (% of merchandise exports)						
South Sudan	Agricultural raw materials imports (% of merchandise imports)						
South Sudan	Agriculture, forestry, and fishing, value added (% of GDP)						
South Sudan	Agriculture, forestry, and fishing, value added (annual % growth)						
South Sudan	Agriculture, forestry, and fishing, value added (constant 2010 US$)						
South Sudan	Agriculture, forestry, and fishing, value added (constant LCU)						
South Sudan	Agriculture, forestry, and fishing, value added (current LCU)						
South Sudan	Agriculture, forestry, and fishing, value added (current US$)						
South Sudan	Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)						
South Sudan	Air transport, freight (million ton-km)						
South Sudan	Air transport, passengers carried						
South Sudan	Air transport, registered carrier departures worldwide						
South Sudan	Alternative and nuclear energy (% of total energy use)	0.0267108534583567	0.0254005759432917	0.024563287596111			
South Sudan	Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)						
South Sudan	Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)						
South Sudan	Annual freshwater withdrawals, industry (% of total freshwater withdrawal)						
South Sudan	Annual freshwater withdrawals, total (% of internal resources)	2.53076923076923		2.53076923076923			
South Sudan	Annual freshwater withdrawals, total (billion cubic meters)						
South Sudan	Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)						
South Sudan	Annualized average growth rate in per capita real survey mean consumption or income, total population (%)						
South Sudan	Antiretroviral therapy coverage (% of people living with HIV)	3.0	4.0	7.0	11.0	11.0	13.0
South Sudan	Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)	12.0	22.0	21.0	46.0	31.0	60.0
South Sudan	Aquaculture production (metric tons)	20.0	20.0	20.0	20.0	20.0	
South Sudan	Arable land (% of land area)						
South Sudan	Arable land (hectares per person)						
South Sudan	Arable land (hectares)						
South Sudan	ARI treatment (% of children under 5 taken to a health provider)						
South Sudan	Armed forces personnel (% of total labor force)	4.664709561854941	3.96826928975702	3.83658073970106	3.71248359734443	3.59857068662674	
South Sudan	Armed forces personnel, total	210000.0	185000.0	185000.0	185000.0	185000.0	
South Sudan	Arms exports (SIPRI trend indicator values)						
South Sudan	Arms imports (SIPRI trend indicator values)	2000000.0	9000000.0	35000000.0	18000000.0	8000000.0	
South Sudan	Automated teller machines (ATMs) (per 100,000 adults)	0.6157722277974821	0.686806540021622	1.00857044021541	0.9445451717103208	0.759655217818473	0.436264961161512
South Sudan	Average grace period on new external debt commitments (years)						
South Sudan	Average grace period on new external debt commitments, official (years)						
South Sudan	Average grace period on new external debt commitments, private (years)						
South Sudan	Average grant element on new external debt commitments (%)						
South Sudan	Average grant element on new external debt commitments, official (%)						
South Sudan	Average grant element on new external debt commitments, private (%)						
South Sudan	Average interest on new external debt commitments (%)						
South Sudan	Average interest on new external debt commitments, official (%)						
South Sudan	Average interest on new external debt commitments, private (%)						
South Sudan	Average maturity on new external debt commitments (years)						
South Sudan	Average maturity on new external debt commitments, official (years)						
South Sudan	Average maturity on new external debt commitments, private (years)						
South Sudan	Average precipitation in depth (mm per year)	900.0		900.0			
South Sudan	Average time to clear exports through customs (days)						
South Sudan	Average transaction cost of sending remittances from a specific country (%)						
South Sudan	Average transaction cost of sending remittances to a specific country (%)					9.597294248501461	9.66095238095238
